,35,40,50,60,70,80,90,100,110,120,130,140
A,10,9,7,6,5,4,4,3,3,3,3,4
B,19,16,13,11,9,8,7,6,6,5,5,4
C,25,22,17,14,12,10,9,8,7,6,6,5
D,29,25,19,16,13,11,10,9,8,7,7,6
E,32,27,21,17,15,13,11,10,9,8,8,7
F,36,31,24,19,16,14,12,11,10,9,8,8
G,40,34,26,21,18,15,13,12,11,10,9,XXX
H,44,37,28,23,19,17,15,13,12,11,10,XXX
I,48,40,31,25,21,18,16,14,13,12,XXX,XXX
J,52,44,33,27,22,19,17,15,14,12,XXX,XXX
K,57,48,36,29,24,21,18,16,14,13,XXX,XXX
L,62,51,39,31,26,22,19,17,15,XXX,XXX,XXX
M,67,55,41,33,27,23,21,18,16,XXX,XXX,XXX
N,73,60,44,35,29,25,22,19,XXX,XXX,XXX,XXX
O,79,64,47,37,31,26,23,20,XXX,XXX,XXX,XXX
P,85,69,50,39,33,28,24,XXX,XXX,XXX,XXX,XXX
Q,92,74,53,42,35,29,25,XXX,XXX,XXX,XXX,XXX
R,100,79,57,44,36,30,XXX,XXX,XXX,XXX,XXX,XXX
S,108,85,60,47,38,XXX,XXX,XXX,XXX,XXX,XXX,XXX
T,117,91,63,49,40,XXX,XXX,XXX,XXX,XXX,XXX,XXX
U,127,97,67,52,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX
V,139,104,71,54,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX
W,152,111,75,55,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX
X,168,120,80,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX
Y,188,129,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX
Z,205,140,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX
